央视频道,#genre# 
CCTV-1超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/ 
CCTV-2高清,http://223.110.241.139:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD/ 
CCTV-3超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/ 
CCTV-4超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/ 
CCTV-5超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/ 
CCTV-5+超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ/ 
CCTV-6超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/ 
CCTV-7超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ/ 
CCTV-8超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ/ 
CCTV-9超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-9/G_CCTV-9/ 
CCTV-10超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/ 
CCTV-11超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/ 
CCTV-12超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-12-HQ/G_CCTV-12-HQ/ 
CCTV-13超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/ 
CCTV-14超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-14-HQ/G_CCTV-14-HQ/ 
CCTV-15超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-15/G_CCTV-15/ 
CCTV-16超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-16-CQ/G_CCTV-16-CQ/ 
CCTV-17超清,http://223.110.241.139:6610/gitv/live1/G_CCTV-17-HQ/G_CCTV-17-HQ/ 

凤凰频道,#genre# 

凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8 
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8 
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8 
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8 
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8 

江苏频道,#genre# 


江苏卫视,http://223.110.241.139:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/ 
江苏教育,http://223.110.241.139:6610/gitv/live1/G_JSJY/G_JSJY/ 
江苏城市,http://223.110.241.139:6610/gitv/live1/G_JSCS/G_JSCS/ 
江苏公共,http://223.110.241.139:6610/gitv/live1/G_JSGG/G_JSGG/ 
江苏影视,http://223.110.241.139:6610/gitv/live1/G_JSYS/G_JSYS/ 
江苏体育,http://223.110.241.139:6610/gitv/live1/G_JSTY/G_JSTY/ 
江苏综艺,http://223.110.241.139:6610/gitv/live1/G_JSZY/G_JSZY/ 
南京新闻,http://223.110.241.139:6610/gitv/live1/G_NJXW/G_NJXW/ 
南京科教,http://223.110.241.139:6610/gitv/live1/G_NJJK/G_NJJK/ 
南京十八,http://223.110.241.139:6610/gitv/live1/G_NJSB/G_NJSB/ 
南京少儿,http://223.110.241.139:6610/gitv/live1/G_NJSE/G_NJSE/ 
无锡新闻,http://223.110.241.139:6610/gitv/live1/G_WXXW/G_WXXW/
盐城1,http://ott.mobaibox.com/PLTV/3/224/3221228435/index.m3u8
盐城2,http://ott.mobaibox.com/PLTV/3/224/3221228433/index.m3u8
盐城3,http://ott.mobaibox.com/PLTV/3/224/3221228436/index.m3u8 
江苏体育,http://[2409:8087:2001:20:2800:0:df6e:eb15]/wh7f454c46tw4122585160_1534269250/ott.mobaibox.com/PLTV/3/224/3221225935/index.m3u8?icpid=3&RTS=1669268931&from=40&popid=40&hms_devid=2115&prioritypopid=40&vqe=3 
大丰一台,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafengyt.m3u8?zjiangsd 

大丰二台,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8?zjiangsd 
卫视频道,#genre# 

浙江卫视,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ/ 
江苏卫视,http://223.110.241.139:6610/gitv/live1/JSWS-HD/JSWS-HD/ 
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN-HQ/G_HUNAN-HQ/ 
安徽卫视,http://223.110.241.139:6610/gitv/live1/AHWS/AHWS/ 
辽宁卫视,http://223.110.241.139:6610/gitv/live1/LNWS/LNWS/ 
山东卫视,http://223.110.241.139:6610/gitv/live1/G_SHANDONG-HQ/G_SHANDONG-HQ/ 
广西卫视,http://223.110.241.139:6610/gitv/live1/GXWS/GXWS/ 
旅游卫视,http://223.110.241.139:6610/gitv/live1/LYWS/LYWS/ 
重庆卫视,http://223.110.241.139:6610/gitv/live1/G_CHONGQING/G_CHONGQING/ 
四川卫视,http://223.110.241.139:6610/gitv/live1/SCWS/SCWS/ 
河南卫视,http://223.110.241.139:6610/gitv/live1/HENAN/HENAN/ 
东南卫视,http://223.110.241.139:6610/gitv/live1/DNWS/DNWS/ 
天津卫视,http://223.110.241.139:6610/gitv/live1/TJWS/TJWS/ 
江西卫视,http://223.110.241.139:6610/gitv/live1/JXWS/JXWS/ 
湖北卫视,http://223.110.241.139:6610/gitv/live1/G_HUBEI/G_HUBEI/ 
吉林卫视,http://223.110.241.139:6610/gitv/live1/G_JILIN/G_JILIN/ 
山西卫视,http://223.110.241.139:6610/gitv/live1/SXWS/SXWS/ 
贵州卫视,http://223.110.241.139:6610/gitv/live1/G_GUIZHOU/G_GUIZHOU/ 
青海卫视,http://223.110.241.139:6610/gitv/live1/G_QINGHAI/G_QINGHAI/ 
内蒙古卫视,http://223.110.241.139:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/ 
云南卫视,http://223.110.241.139:6610/gitv/live1/G_YUNNAN/G_YUNNAN/ 
河北卫视,http://223.110.241.139:6610/gitv/live1/G_HEBEI/G_HEBEI/ 
宁夏卫视,http://223.110.241.139:6610/gitv/live1/G_NINGXIA/G_NINGXIA/ 
新疆卫视,http://223.110.241.139:6610/gitv/live1/G_XINJIANG/G_XINJIANG/ 
甘肃卫视,http://223.110.241.139:6610/gitv/live1/G_GANSU/G_GANSU/ 
西藏卫视,http://223.110.241.139:6610/gitv/live1/G_XIZANG/G_XIZANG/ 
